,name,interests,ages_ranges,genders,behavior,income,scholarities,languages,family_statuses,relationship_statuses,geo_locations,household_composition,all_fields,targeting,response,dau_audience,mau_audience,mau_audience_upper_bound,mau_audience_lower_bound,timestamp,publisher_platforms,mock_response
0,Luxury in Bahrein and Argelia,"{'or': [6007828099136, 6003392552125], 'name': 'Not very good'}","{'min': 18, 'max': 24}",0,"{'or': [6015559470583], 'name': 'Expats'}",,"{'name': 'Graduated', 'or': [3, 7, 8, 9, 11]}","{'name': 'Arabic', 'values': [28]}",,,"{'name': 'regions', 'values': [{'key': '3843'}]}",,"(('interests', {'or': [6007828099136, 6003392552125], 'name': 'Not very good'}), ('ages_ranges', {'min': 18, 'max': 24}), ('genders', 0), ('behavior', {'or': [6015559470583], 'name': 'Expats'}), ('scholarities', {'name': 'Graduated', 'or': [3, 7, 8, 9, 11]}), ('languages', {'name': 'Arabic', 'values': [28]}), ('geo_locations', {'name': 'regions', 'values': [{'key': '3843'}]}))","{'geo_locations': {'regions': [{'key': '3843'}]}, 'age_min': 18, 'age_max': 24, 'genders': [0], 'locales': [28], 'flexible_spec': [{'interests': [{'id': 6007828099136}, {'id': 6003392552125}]}, {'behaviors': [{'id': 6015559470583}]}, {'education_statuses': [3, 7, 8, 9, 11]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":0,""estimate_mau_lower_bound"":1000,""estimate_mau_upper_bound"":1000,""estimate_ready"":true}]}'",0,,1000,1000,1709743511,"[""facebook""]",False
1,Luxury in Bahrein and Argelia,"{'or': [6007828099136, 6003392552125], 'name': 'Not very good'}","{'min': 18, 'max': 24}",0,"{'or': [6015559470583], 'name': 'Expats'}",,"{'name': 'Graduated', 'or': [3, 7, 8, 9, 11]}","{'name': 'Arabic', 'values': [28]}",,,"{'name': 'regions', 'values': [{'key': '3843'}]}",,"(('interests', {'or': [6007828099136, 6003392552125], 'name': 'Not very good'}), ('ages_ranges', {'min': 18, 'max': 24}), ('genders', 0), ('behavior', {'or': [6015559470583], 'name': 'Expats'}), ('scholarities', {'name': 'Graduated', 'or': [3, 7, 8, 9, 11]}), ('languages', {'name': 'Arabic', 'values': [28]}), ('geo_locations', {'name': 'regions', 'values': [{'key': '3843'}]}))","{'geo_locations': {'regions': [{'key': '3843'}]}, 'age_min': 18, 'age_max': 24, 'genders': [0], 'locales': [28], 'flexible_spec': [{'interests': [{'id': 6007828099136}, {'id': 6003392552125}]}, {'behaviors': [{'id': 6015559470583}]}, {'education_statuses': [3, 7, 8, 9, 11]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":0,""estimate_mau_lower_bound"":1000,""estimate_mau_upper_bound"":1000,""estimate_ready"":true}]}'",0,,1000,1000,1709743511,"[""facebook""]",False
